Set,CardNumber,Count,IsFoil
SHD,001,1,FALSE
SHD,002,1,FALSE
SHD,003,1,FALSE
SHD,004,1,FALSE
SHD,005,1,FALSE
SHD,006,1,FALSE
SHD,007,1,FALSE
SHD,008,1,FALSE
SHD,009,1,FALSE
SHD,010,1,FALSE
SHD,011,1,FALSE
SHD,012,1,FALSE
SHD,013,1,FALSE
SHD,014,1,FALSE
SHD,015,1,FALSE
SHD,016,1,FALSE
SHD,017,1,FALSE
SHD,018,1,FALSE
SHD,019,1,FALSE
SHD,020,1,FALSE
SHD,021,1,FALSE
SHD,022,1,FALSE
SHD,023,1,FALSE
SHD,024,1,FALSE
SHD,025,1,FALSE
SHD,026,1,FALSE
SHD,027,1,FALSE
SHD,028,1,FALSE
SHD,029,1,FALSE
SHD,030,1,FALSE
SHD,031,1,FALSE
SHD,032,1,FALSE
SHD,033,1,FALSE
SHD,034,1,FALSE
SHD,035,1,FALSE
SHD,036,1,FALSE
SHD,037,1,FALSE
SHD,038,1,FALSE
SHD,039,1,FALSE
SHD,040,1,FALSE
SHD,041,1,FALSE
SHD,042,1,FALSE
SHD,043,1,FALSE
SHD,044,1,FALSE
SHD,045,1,FALSE
SHD,046,1,FALSE
SHD,047,1,FALSE
SHD,048,1,FALSE
SHD,049,1,FALSE
SHD,050,1,FALSE
SHD,051,1,FALSE
SHD,052,1,FALSE
SHD,053,1,FALSE
SHD,054,1,FALSE
SHD,055,1,FALSE
SHD,056,1,FALSE
SHD,057,1,FALSE
SHD,058,1,FALSE
SHD,059,1,FALSE
SHD,060,1,FALSE
SHD,061,1,FALSE
SHD,062,1,FALSE
SHD,063,1,FALSE
SHD,064,1,FALSE
SHD,065,1,FALSE
SHD,066,1,FALSE
SHD,067,1,FALSE
SHD,068,1,FALSE
SHD,069,1,FALSE
SHD,070,1,FALSE
SHD,071,1,FALSE
SHD,072,1,FALSE
SHD,073,1,FALSE
SHD,074,1,FALSE
SHD,075,1,FALSE
SHD,076,1,FALSE
SHD,077,1,FALSE
SHD,078,1,FALSE
SHD,079,1,FALSE
SHD,080,1,FALSE
SHD,081,1,FALSE
SHD,082,1,FALSE
SHD,083,1,FALSE
SHD,084,1,FALSE
SHD,085,1,FALSE
SHD,086,1,FALSE
SHD,087,1,FALSE
SHD,088,1,FALSE
SHD,089,1,FALSE
SHD,090,1,FALSE
SHD,091,1,FALSE
SHD,092,1,FALSE
SHD,093,1,FALSE
SHD,094,1,FALSE
SHD,095,1,FALSE
SHD,096,1,FALSE
SHD,097,1,FALSE
SHD,098,1,FALSE
SHD,099,1,FALSE
SHD,100,1,FALSE
SHD,101,1,FALSE
SHD,102,1,FALSE
SHD,103,1,FALSE
SHD,104,1,FALSE
SHD,105,1,FALSE
SHD,106,1,FALSE
SHD,107,1,FALSE
SHD,108,1,FALSE
SHD,109,1,FALSE
SHD,110,1,FALSE
SHD,111,1,FALSE
SHD,112,1,FALSE
SHD,113,1,FALSE
